File,Total Lines,Code Lines,Comment Lines,Blank Lines,Cyclomatic Complexity,Cognitive Complexity,Maintainability Index,Functions,Classes,Max Nesting,Halstead Volume,Halstead Difficulty,Halstead Effort,Estimated Bugs
Zenith\Flux\Shaders\Generated\Text.h,62,47,26,4,1,0,42.16,0,2,0,1076.52,11.04,11889.61,0.359
Zenith\Flux\Shaders\Generated\Vegetation.h,64,49,28,4,1,0,41.57,0,2,0,1149.16,10.94,12568.94,0.383
Zenith\Flux\Shaders\Generated\Water.h,52,38,24,4,1,0,44.92,0,1,0,843.67,10.87,9169.31,0.281
Zenith\Flux\Shadows\Flux_Shadows.cpp,258,180,29,49,16,17,20.95,15,2,3,9037.66,48.77,440804.47,3.013
Zenith\Flux\Shadows\Flux_Shadows.h,32,20,3,9,1,0,52.19,0,1,0,570.04,9.03,5145.40,0.190
Zenith\Flux\Skybox\Flux_Skybox.cpp,401,311,35,58,12,14,14.48,25,2,2,16481.06,43.11,710420.44,5.494
Zenith\Flux\Skybox\Flux_Skybox.h,140,90,52,25,1,0,33.67,0,1,0,2317.00,9.36,21683.43,0.772
Zenith\Flux\Slang\Flux_CodeGenerator.cpp,403,305,58,32,58,97,9.17,9,1,5,13151.36,75.09,987600.15,4.384
Zenith\Flux\Slang\Flux_CodeGenerator.h,57,24,24,9,1,0,51.27,0,2,0,437.52,9.57,4184.99,0.146
Zenith\Flux\Slang\Flux_ShaderBinder.cpp,182,128,37,23,7,7,26.58,9,0,2,6107.77,52.34,319664.44,2.036
Zenith\Flux\Slang\Flux_ShaderBinder.h,141,40,86,15,1,0,43.21,0,5,0,1258.36,11.03,13875.62,0.419
Zenith\Flux\Slang\Flux_ShaderHotReload.cpp,291,225,29,40,43,63,15.38,14,1,3,8534.64,57.38,489674.95,2.845
Zenith\Flux\Slang\Flux_ShaderHotReload.h,91,31,47,14,1,0,47.50,3,1,0,679.40,6.81,4623.68,0.226
Zenith\Flux\Slang\Flux_ShaderRegistry.cpp,810,614,140,55,3,3,11.59,7,0,1,7639.78,29.20,223116.24,2.547
Zenith\Flux\Slang\Flux_ShaderRegistry.h,40,24,14,7,1,0,50.54,0,2,0,554.97,8.10,4497.15,0.185
Zenith\Flux\Slang\Flux_SlangCompiler.cpp,761,611,81,73,138,146,0.00,20,1,4,30375.25,80.91,2457550.47,10.125
